Domicile,FA/FSC,English Marks,Offered
Bahawalpur,907,155,Offered_IN_BWP_QUOTA
Bahawalpur,760,149,Not Offered
Bahawalpur,772,121,Not Offered
Bahawalpur,867,167,Not Offered
Bahawalpur,732,145,Not Offered
Bahawalpur,840,129,Not Offered
Bahawalpur,869,129,Not Offered
Bahawalpur,836,143,Not Offered
Bahawalpur,733,118,Not Offered
Bahawalpur,584,114,Not Offered
Bahawalpur,598,159,Not Offered
Bahawalpur,760,109,Not Offered
Bahawalpur,885,163,Offered_IN_BWP_QUOTA
Bahawalpur,681,140,Not Offered
OPEN,820,134,Not Offered
OPEN,808,146,Not Offered
OPEN,727,132,Not Offered
OPEN,693,123,Not Offered
OPEN,950,163,Offered_IN_OPEN_QUOTA
OPEN,730,127,Not Offered
OPEN,802,161,Not Offered
OPEN,641,134,Not Offered
OPEN,612,83,Not Offered
OPEN,713,129,Not Offered
OPEN,911,166,Offered_IN_OPEN_QUOTA
OPEN,827,150,Not Offered
OPEN,753,144,Not Offered
OPEN,761,110,Not Offered
OPEN,692,153,Not Offered
OPEN,865,165,Not Offered
OPEN,888,148,Not Offered
OPEN,796,97,Not Offered
OPEN,720,129,Not Offered
OPEN,689,135,Not Offered
OPEN,803,120,Not Offered
OPEN,713,135,Not Offered
OPEN,860,141,Not Offered
OPEN,815,145,Not Offered
OPEN,605,105,Not Offered
OPEN,778,152,Not Offered
OPEN,818,161,Not Offered
OPEN,951,172,Offered_IN_OPEN_QUOTA
OPEN,927,165,Offered_IN_OPEN_QUOTA
OPEN,761,148,Not Offered
OPEN,734,100,Not Offered
OPEN,570,77,Not Offered
OPEN,794,127,Not Offered
OPEN,627,68,Not Offered
OPEN,616,120,Not Offered
OPEN,616,118,Not Offered
OPEN,927,168,Offered_IN_OPEN_QUOTA
OPEN,870,139,Not Offered
OPEN,545,91,Not Offered
OPEN,600,110,Not Offered
OPEN,664,119,Not Offered
OPEN,635,119,Not Offered
OPEN,596,110,Not Offered
OPEN,890,132,Not Offered
OPEN,887,158,Not Offered
OPEN,858,111,Not Offered
OPEN,872,127,Not Offered
OPEN,773,124,Not Offered
OPEN,885,140,Not Offered
OPEN,800,106,Not Offered
Bahawalpur,679,125,Not Offered
OPEN,695,104,Not Offered
Bahawalpur,676,146,Not Offered
Bahawalpur,562,91,Not Offered
Bahawalpur,673,90,Not Offered
Bahawalpur,840,156,Not Offered
Bahawalpur,753,134,Not Offered
Bahawalpur,642,108,Not Offered
OPEN,779,163,Not Offered
OPEN,620,136,Not Offered
OPEN,794,156,Not Offered
OPEN,693,135,Not Offered
OPEN,591,103,Not Offered
OPEN,875,145,Not Offered
OPEN,707,131,Not Offered
OPEN,879,169,Not Offered
Bahawalpur,768,114,Not Offered
OPEN,683,146,Not Offered
OPEN,832,151,Not Offered
OPEN,904,163,Offered_IN_OPEN_QUOTA
OPEN,725,139,Not Offered
OPEN,876,155,Not Offered
OPEN,688,108,Not Offered
OPEN,827,129,Not Offered
OPEN,624,115,Not Offered
OPEN,871,160,Not Offered
OPEN,783,157,Not Offered
OPEN,751,167,Not Offered
OPEN,754,142,Not Offered
OPEN,752,137,Not Offered
OPEN,834,142,Not Offered
OPEN,892,154,Not Offered
Bahawalpur,701,154,Not Offered
OPEN,695,132,Not Offered
OPEN,671,126,Not Offered
OPEN,824,143,Not Offered
OPEN,864,157,Not Offered
OPEN,594,79,Not Offered
OPEN,884,73,Not Offered
OPEN,782,120,Not Offered
OPEN,781,146,Not Offered
OPEN,662,125,Not Offered
OPEN,883,158,Not Offered
OPEN,572,63,Not Offered
OPEN,780,99,Not Offered
OPEN,838,166,Not Offered
