Sr,Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
206,Bahawalpur,,No,63,0,837,0,0,Offered_IN_OPEN_QUOTA
207,OPEN,,No,52,0,695,0,0,Not Offered
208,Bahawalpur,,No,41,0,542,0,0,Not Offered
209,Bahawalpur,,No,64,0,844,0,0,Offered_IN_OPEN_QUOTA
210,Bahawalpur,,No,52,0,660,0,0,Not Offered
211,Bahawalpur,,No,64,0,825,0,0,Offered_IN_OPEN_QUOTA
212,Bahawalpur,,Yes,48,0,830,0,0,Offered_IN_OPEN_QUOTA
213,Bahawalpur,,No,52,0,604,0,0,Not Offered
214,Bahawalpur,,No,59,0,692,0,0,Not Offered
215,Bahawalpur,,No,72,0,844,0,0,Offered_IN_OPEN_QUOTA
216,OPEN,,No,40,0,557,0,0,Not Offered
217,Bahawalpur,,No,61,0,637,0,0,Not Offered
218,Bahawalpur,,No,47,0,716,0,0,Not Offered
219,Bahawalpur,,No,58,0,585,0,0,Not Offered
220,Bahawalpur,,No,49,0,653,0,0,Not Offered
221,Bahawalpur,,No,62,0,678,0,0,Not Offered
222,Bahawalpur,,No,42,0,872,0,0,Offered_IN_BWP_QUOTA
223,Bahawalpur,,No,44,0,728,0,0,Not Offered
224,OPEN,,No,43,0,593,0,0,Not Offered
225,Bahawalpur,,No,48,0,660,0,0,Not Offered
226,Bahawalpur,,No,53,0,644,0,0,Not Offered
227,Bahawalpur,,No,44,0,653,0,0,Not Offered
228,Bahawalpur,,No,50,0,655,0,0,Not Offered
229,Bahawalpur,,No,48,0,643,0,0,Not Offered
230,Bahawalpur,,No,46,0,876,0,0,Offered_IN_OPEN_QUOTA
231,Bahawalpur,,No,44,0,534,0,0,Not Offered
232,Bahawalpur,,No,44,0,612,0,0,Not Offered
233,Bahawalpur,,Yes,46,0,604,0,0,Not Offered
234,Bahawalpur,,No,39,0,566,0,0,Not Offered
235,Bahawalpur,,No,47,0,718,0,0,Not Offered
236,Bahawalpur,,No,44,0,716,0,0,Not Offered
237,OPEN,,No,63,0,743,0,0,Offered_IN_OPEN_QUOTA
238,Bahawalpur,,No,51,0,557,0,0,Not Offered
239,Bahawalpur,,No,49,0,656,0,0,Not Offered
240,Bahawalpur,,No,43,0,732,0,0,Not Offered
241,Bahawalpur,,No,51,0,639,0,0,Not Offered
242,Bahawalpur,,No,42,0,562,0,0,Not Offered
243,Bahawalpur,,No,64,0,920,0,0,Offered_IN_OPEN_QUOTA
244,Bahawalpur,,No,43,0,697,0,0,Not Offered
245,Bahawalpur,,Yes,52,0,845,0,0,Offered_IN_OPEN_QUOTA
246,Bahawalpur,,No,48,0,892,0,0,Offered_IN_OPEN_QUOTA
247,Bahawalpur,,No,63,0,749,0,0,Offered_IN_BWP_QUOTA
248,Bahawalpur,,No,50,0,601,0,0,Not Offered
249,Bahawalpur,,No,50,0,704,0,0,Not Offered
250,Bahawalpur,,No,66,0,667,0,0,Not Offered
251,Bahawalpur,,No,60,0,863,0,0,Offered_IN_OPEN_QUOTA
252,Bahawalpur,,No,46,0,534,0,0,Not Offered
253,Bahawalpur,,No,46,0,589,0,0,Not Offered
254,Bahawalpur,,No,58,0,631,0,0,Not Offered
255,Bahawalpur,,No,48,0,832,0,0,Offered_IN_OPEN_QUOTA
256,Bahawalpur,,No,48,16,610,0,0,Not Offered
257,Bahawalpur,,No,44,0,618,0,0,Not Offered
258,Bahawalpur,,No,49,0,657,0,0,Not Offered
259,Bahawalpur,,No,54,0,663,0,0,Not Offered
260,Bahawalpur,,No,50,0,652,0,0,Not Offered
261,Bahawalpur,,No,46,0,708,0,0,Not Offered
